x,y
32.33111023,61.41110125
53.42146288,26.18688039
63.92020226,30.83219392
70.28950572,82.53364859
34.11883024,45.73455132
67.6707164,37.11094797
53.25912941,97.4757711
63.51498087,25.10007858
67.98053881,80.95716522
67.3724659,29.7204002
15.56074952,80.06564029
71.79076769,71.06546666
70.24254644,24.10959755
64.93743554,81.55420499
62.21352455,21.475839
67.26940048,18.70896837
40.57019704,79.37296348
74.74118133,21.1016372
71.76831892,20.01106184
76.16691981,75.9361704
65.62365744,15.58280335
50.85063364,13.98760163
33.02407002,24.46783039
39.70632617,84.2752871
45.59648495,9.763348849
42.96804691,17.9454584
52.49440678,16.0511142
46.08227578,23.11045782
74.24770821,20.31418781
64.56826419,83.6396339
74.02169391,76.12827451
62.39118056,5.623070761
74.18903668,68.13358322
28.23678194,56.13959645
75.77193879,69.82923003
75.85522947,62.51704429
65.97085702,72.744856
21.77804048,6.616625307
67.75979625,72.42120153
78.61719534,52.57525731
68.50770819,15.45691897
74.88502116,25.41660632
66.45490366,19.83662865
77.3178021,48.39834644
58.91246032,75.66775622
57.61744782,8.194800603
76.0882258,59.67993002
57.46605055,1.504418175
79.42838349,45.21079429
76.35652215,10.41824113
64.40507526,78.58417608
40.63504181,73.39475037
43.94986459,75.95871567
30.99622058,71.69440494
68.23076899,80.87250166
72.04638946,12.91800673
46.59276797,84.97238278
49.25721834,81.88140323
42.78176125,12.99118843
65.4759522,14.27458564
71.96508265,17.71023594
32.14646234,43.48170944
31.8384977,71.81216539
31.00525826,40.68250301
80.47089432,49.50214835
71.96416711,41.87428267
78.07942144,93.13331677
41.67759577,30.20126408
65.95359519,31.14740608
62.93445937,31.9163907
64.37379798,28.86258341
72.50932836,39.54013025
30.05228987,96.61754235
28.00332424,46.67219195
75.40122686,88.63907662
38.98001542,87.32216069
65.21991355,84.68295493
73.05398996,29.38080856
34.39836164,59.5444469
43.49045013,40.78254207
55.13873797,30.72576036
43.68439343,32.82300987
35.90360973,91.11186308
45.37801888,29.16921665
39.77748287,43.75581895
38.66446116,33.31723848
39.04403669,84.67601083
91.63996144,79.40660306
47.48813268,85.38993338
44.59021258,22.03401164
39.08961455,70.46619408
42.22937838,19.91406841
37.00038714,60.26427925
39.05208648,70.65250285
37.48841474,60.81440485
69.35955946,65.5213546
43.54277593,62.46031128
39.81123025,65.33483281
70.06892594,7.593465609
70.04054358,77.1438066
39.50578908,74.85162722
62.51689085,66.48473224
72.13992541,0.015119325
45.25157607,70.00342132
42.06330456,2.335196612
36.35569515,6.00584865
30.39182766,42.75961287
36.44900385,50.54626907
40.467576,60.02751209
81.7246168,6.037544846
48.8231975,76.63533058
35.62056177,57.28601558
50.58396311,71.8066161
61.85646511,71.79274316
39.32375603,59.30081967
42.18567914,66.03489782
30.84691899,37.3416401
29.34620043,42.14874183
82.11055798,1.210551663
38.30200581,60.01778579
56.58415302,70.51251481
33.33937429,0.509106735
78.77423904,35.48410121
27.92264424,25.98687818
71.69786512,10.86814451
74.13833139,49.17391898
32.57902007,1.808115597
59.83218542,69.15250814
35.03062855,12.53664934
74.30011983,42.47709459
63.25019706,65.9524862
34.17307376,25.69367431
40.91383193,38.55901955
62.83329309,62.51089423
42.47679238,56.73128997
52.03345628,64.56666203
48.90704296,74.28774883
59.85183839,72.95839097
48.9604602,72.62952573
46.84485517,36.79171369
39.96302158,42.94491485
66.704944,32.01509543
