x,y
55.99303015,79.2772637
50.03225379,79.0130712
51.28845866,82.43593984
51.17053689,79.16529411
44.37791453,78.164628
45.01027007,77.88086312
48.55981672,78.7883706
42.14226829,76.88063455
41.02697157,76.40958846
34.57530901,72.72484118
31.16860072,69.24542132
32.64425407,70.73255503
26.66664565,62.98097121
26.45926233,62.63467337
25.53800765,60.63023611
26.32071119,62.39628112
26.16338746,62.0268149
25.21379046,60.2733986
26.85952956,63.14183467
31.76066917,69.79765539
39.79329057,75.80796422
45.61743919,78.11997023
53.77146068,79.30293164
56.45143367,79.24710702
66.0937202,77.01781826
56.92583942,79.20631862
58.98825385,78.91725896
57.90226605,79.08086782
64.81286696,77.48693892
60.34979352,78.72944587
48.89055576,16.80654352
47.54950635,17.07140452
30.88943083,26.32903723
28.97283572,29.05046892
35.16136075,22.78684965
45.87036917,17.48939337
32.83142061,24.79753815
39.48557479,20.03305005
33.44618293,24.19064341
21.86358128,46.05259335
25.16587084,35.76661395
22.95947898,51.28770679
25.58605524,60.84658336
26.31431007,33.2971681
33.03730125,24.56446249
36.46888948,21.87611447
26.5135531,32.91874982
36.02709121,22.19543854
42.68104041,18.5425362
45.04107713,17.73451773
47.35241646,17.13474543
53.84619403,16.3873181
55.12963938,16.35324687
52.18811996,16.41821747
58.67266308,16.66337243
82.1443116,33.19522187
75.68657114,24.74151039
85.3449645,52.88641987
83.84465351,58.61606023
85.66476066,45.54275277
77.93100493,68.69006188
73.03183302,73.12057473
70.1028045,75.68320685
57.14469469,79.19410259
46.96246199,78.666559
50.56493381,79.07729855
53.71967657,79.30693617
54.20023232,79.32500234
47.87519834,78.67585343
51.47345851,79.159867
52.75122222,79.29365993
48.562223,78.78238353
53.08124169,79.29725077
56.47538337,79.1678401
49.57091141,79.03812388
37.6277033,74.55750434
32.26370009,70.3166389
32.54238034,70.70241721
52.82501719,85.57813388
58.52828954,78.97870425
56.26583426,79.25293949
57.07589242,79.19392254
54.25640238,79.31386485
62.68567125,78.17474327
68.08560586,76.1123175
65.11812196,77.39918845
68.7456313,75.79005545
63.09022514,78.0414095
77.20458932,69.31214977
82.03390848,62.68186979
81.57794592,63.8949255
85.18014328,53.78167666
84.28682499,57.25616809
85.62248671,45.02416586
85.60449902,50.76233791
84.42478583,38.76141016
85.57098508,44.56009644
84.6267242,39.48707751
73.39615493,22.81624794
73.50744773,22.85698876
63.35648811,17.72406884
72.95904687,22.51149983
64.02084165,17.88358125
61.12446324,17.11635336
75.67420733,24.78250097
69.51358316,20.27935789
58.57213547,16.64270381
70.98194099,21.1458881
65.2230304,18.39719512
65.31504391,18.3337483
64.01024068,17.92447819
57.14093593,16.59861054
56.36515326,16.32654637
43.04618324,18.40255939
52.08175556,16.45387453
42.87903652,18.48941103
51.5669948,16.48571364
58.83912512,16.63763522
60.75578914,17.03323151
54.76115612,16.3661891
53.569905,16.33971255
48.91461824,16.79863708
52.64613731,16.38483638
49.83849299,16.67633028
52.6840664,16.40796278
65.80721903,18.14076495
60.67392092,17.05180236
63.39471287,17.70053514
64.80200945,18.21687863
65.02593981,18.2878245
65.75555154,18.51621583
69.96773412,20.53898878
68.89278402,20.03244884
61.82654656,17.26965545
60.78797008,17.04620486
61.91560964,17.28219122
45.02899753,17.7244473
39.92136281,19.70184953
84.79427788,55.56865037
55.66295874,83.35647962
50.49224751,78.99753207
51.46710114,79.20184458
